match_id,home_ball_possession,away_ball_possession,home_big_chances,away_big_chances,home_total_shots,away_total_shots,home_goalkeeper_saves,away_goalkeeper_saves,home_corner_kicks,away_corner_kicks,home_fouls,away_fouls,home_passes,away_passes,home_tackles,away_tackles,home_free_kicks,away_free_kicks,home_yellow_cards,away_yellow_cards,home_expected_goals,away_expected_goals,home_red_cards,away_red_cards
12592335,,,,,,,,,,,,,,,,,,,2,1,,,0,0
12592331,,,,,,,,,,,,,,,,,,,3,1,,,0,0
12493978,,,,,,,,,,,,,,,,,,,2,3,,,0,0
12493975,,,,,,,,,,,,,,,,,,,3,2,,,0,0
12493974,,,,,,,,,,,,,,,,,,,1,1,,,0,0
13019039,41%,59%,0,5,10,14,5,4,5,4,13,8,339,503,17,12,8,13,2,1,,,,
12923109,67%,33%,3,0,16,4,1,3,2,3,13,6,656,319,11,13,5,13,,,,,,
12923104,51%,49%,5,5,9,17,3,2,4,6,14,9,508,467,20,14,8,11,2,1,,,,
12246983,47%,53%,,,7,25,7,6,2,10,13,9,322,447,8,1,2,2,4,1,0.76,5.43,0,0
12246985,52%,48%,,,13,6,1,3,2,5,11,13,398,387,3,1,4,1,3,6,2.72,0.39,0,0
12484257,56%,44%,,,7,14,1,2,5,4,7,13,449,399,2,1,1,1,2,1,1.00,2.18,0,0
12484258,39%,61%,,,15,11,3,1,4,1,10,7,323,524,2,2,2,2,1,2,1.36,1.46,0,0
12484255,68%,32%,,,12,2,1,5,4,2,9,11,591,261,5,3,1,2,3,2,1.67,0.12,0,0
12196916,56%,44%,,,9,12,2,2,5,4,19,6,404,380,7,1,0,5,2,2,1.00,1.38,0,0
12196973,58%,42%,,,14,7,0,2,7,7,12,12,489,364,2,4,4,4,2,1,1.35,0.89,0,1
12199061,50%,50%,,,10,14,4,2,9,4,18,8,393,360,0,5,1,7,3,3,1.54,2.03,0,0
12442133,51%,49%,,,14,11,0,4,6,3,13,9,381,387,4,3,4,2,2,1,1.13,0.40,0,0
12442134,52%,48%,,,17,15,1,7,7,4,20,16,362,345,4,5,4,5,2,3,2.63,0.77,0,0
12484433,36%,64%,,,14,11,1,6,3,2,12,13,252,441,1,0,2,3,4,1,1.63,0.57,0,1
12484437,56%,44%,,,13,14,5,1,6,6,9,9,405,338,0,3,0,0,1,2,0.99,1.73,0,1
13014309,40%,60%,3,2,15,13,3,3,7,5,12,12,301,459,16,11,12,11,1,1,,,,
13014303,55%,45%,,,14,10,0,1,5,6,16,12,334,264,11,15,12,15,4,2,,,,
12694137,57%,43%,,,6,11,1,1,3,0,23,15,452,348,4,0,2,5,0,3,0.47,0.82,0,0
12694134,51%,49%,,,16,11,2,6,4,0,13,12,412,407,3,4,6,2,3,5,1.31,1.77,0,1
12698547,45%,55%,,,12,8,4,3,3,8,15,11,318,362,5,2,2,6,3,1,1.35,0.59,0,0
12454752,25%,75%,,,5,17,7,1,5,10,10,6,165,703,2,3,3,3,2,2,0.34,2.80,0,0
