match_id,home_total_tackles,away_total_tackles,home_interceptions,away_interceptions,home_recoveries,away_recoveries,home_clearances,away_clearances,home_tackles_won,away_tackles_won,home_errors_lead_to_a_shot,away_errors_lead_to_a_shot,home_errors_lead_to_a_goal,away_errors_lead_to_a_goal
13036931,12,21,9,10,53,46,17,41,67%,62%,,,,
12769312,27,20,10,7,61,61,16,19,52%,60%,,,,
12902952,23,21,5,18,58,58,11,8,48%,71%,,,1,1
12991503,8,16,4,2,46,43,14,11,100%,63%,,,,
12014195,11,8,4,10,48,58,9,6,73%,75%,,,,
13016164,4,3,10,10,,,19,34,,,5,5,,
13016167,1,1,6,15,,,7,37,,,4,2,,
12004432,9,12,9,7,47,50,10,31,67%,58%,,,,
11912257,20,24,4,8,46,46,15,37,60%,67%,,,,
12831481,17,8,3,2,49,37,10,15,94%,75%,,,,
12831498,17,3,2,7,30,33,42,13,94%,67%,,,,
12831500,10,8,8,7,43,33,4,20,100%,75%,,,,
12489714,19,16,4,5,48,59,31,19,63%,75%,,,,
12489713,14,8,8,2,38,53,53,4,57%,75%,,,,
11907445,21,14,11,9,55,51,28,29,81%,57%,,,,
11907446,12,28,2,5,49,43,22,50,67%,54%,,,,
12440987,19,19,6,11,48,54,36,4,79%,84%,,,,
12662005,10,9,11,11,51,39,26,7,90%,78%,,,,
12662007,14,20,7,4,36,35,18,18,64%,80%,,,,
12662008,21,16,15,20,47,55,10,14,62%,75%,,,,
12453112,11,19,12,12,51,52,24,32,55%,47%,,,,
12504046,19,16,14,10,47,41,19,37,63%,56%,,,,
12503884,22,23,10,11,55,55,18,14,68%,52%,,,,
13037267,14,7,9,5,30,35,12,11,79%,43%,,,,
12503862,20,12,12,12,48,46,13,14,85%,50%,,,,
12503971,18,22,8,8,69,51,9,26,61%,64%,,,,
12503855,15,18,5,11,54,50,16,24,73%,83%,,,,
12680611,30,26,6,9,58,49,17,21,67%,77%,,,,
12503937,15,10,7,4,43,49,28,30,53%,40%,,,,
12503820,29,17,11,8,73,60,19,22,72%,76%,,,,
12065761,8,9,19,22,,,2,10,,,2,3,,
12065762,4,7,22,21,,,5,19,,,2,1,,
12065760,1,3,22,15,,,11,13,,,2,5,,
12065773,10,2,18,13,,,14,8,,,8,2,,
12065763,6,4,14,25,,,9,14,,,1,3,,
12065767,6,3,22,33,,,23,17,,,2,5,,
12735448,20,19,13,10,46,36,15,18,80%,84%,,,,
12610363,14,16,11,16,49,41,18,14,71%,75%,,,,
12940698,13,14,6,14,46,31,7,30,54%,64%,,,,
12903507,3,1,8,13,,,17,10,,,3,1,,
